Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
the human condition	1		the human condition			One of the four top theme categories: "The Human Condition" themes illustrate the experience of being uniquely human (or something vaguely humanoid or an android etc.). These are themes about wants, needs, emotions, relationships; about what we want in life, the challenges we have to face and the hardships we endure.	
society	2		society			One of the four top theme categories: "Society" themes illustrate how groups of people (or even sentient rock monsters) in the same geographical territory subject to the same political authority and cultural expectations organize themselves. These are themes about the interactions and patterns of relationships inside or between different societies.	
the pursuit of knowledge	3		the pursuit of knowledge			One of the four top theme categories: "The Pursuit of Knowledge" themes are ideas about ideas, thoughts and reasoning; about how things are and how we should act. These themes range over anything (real) that are in the domain of human investigation but don’t fit snugly under the "the Human Condition" or "Society".	
alternate reality	4		alternate reality			One of the four top theme categories: "Alternate Reality" themes discuss anything that is currently outside of reality as we know it. These are classical science fiction and fantasy themes, for example ideas about the future, futuristic science and technology, as well as just plain old nonsense of some kind or another.	
2D beings	5	miscellaneous life form	alternate reality		aliens	Beings that perceive only two spatial dimension, like those sentient geometrical figures occupying a two-dimensional world described in the satirical novella "Flatland: A Romance of Many Dimensions" by E. A. Abbott.	The Enterprise-D came into contact with a plane of 2D beings floating towards a cosmic string in tng4x10 "The Loss", and got stuck.
2D space	6	alternate laws of nature	alternate reality		mathematics, physics	A mathematical model of a world confined to two spatial dimensions.	The Enterprise-D got stuck in a plane of two-dimensional beings in tng4x10 "The Loss".
AI point of view	7	views and customs	society		AI	We are shown what things might be like from the point of view of a sentient machine.	
AI prejudice in society	8	prejudice in society	society			The issue of a large portion of society having a hostile prejudice against artificial intelligences (or their forerunners) is discussed.	
AI rights	9	human rights	society	sentient rights	AI, fictional issue	We are made to ponder what intrinsic rights we feel should belong to any human-like sentient being that happens to be artificially constructed.	Data was granted parental rights over his android creation Lal when Admiral Haftel attempted to separate the father and daughter in tng3x16 "The Offspring".
AI technology	10	novel sci-fi concept	alternate reality		AI	The contemporarily popular category of themes that features Artificial Intelligence (AI) in different ways: androids, sentient computers, etc.	
Atlantis	11	crackpot theory	the pursuit of knowledge			An advanced prehistoric civilization that was destroyed in a great flood.	Aquan underwater civilization on the planet Argo was preceded by a land civilization that was destroyed in the wake of global flood triggering earthquakes in tas1x13 "The Ambergris Element".
Bermuda Triangle	12	crackpot theory	the pursuit of knowledge			A region where a number of vessels are said to have disappeared.	The Enterprise disappeared in the Delta Triangle (The Bermuda Triangle in Space) under mysterious circumstances in tas1x12 "The Time Trap".
Bussard collector	13	starship technology	alternate reality			A spaceship propulsion technology the idea of which is to use electromagnetic fields to collect hydrogen from space and fuel a fusion process.	The Enterprise-D crew discharged vast amounts of hydrogen from the ship's Bussard collectors in a last ditched attempt to escape from a Tykan's Rift in tng4x17 "Night Terrors".
Chariots of the Gods	14	crackpot theory	the pursuit of knowledge			The hypothesis popularized by Erich von Däniken, that the technologies and religions of our ancient civilizations were given them by aliens whom they welcomed as gods.	Ensign Dawson Walking Bear recognized a winged, serpentine alien as the Mayan god Kulkulkan in tas 2x05 "How Sharper Than a Serpant's Tooth". Walking Bear recounted how Kulkulkan gave the Mayans an accurate calendar and instructed them in the art of city building.
Christianity	15	organized religion	the pursuit of knowledge			A collection Abrahamic monotheistic religions that are based on the life and teachings of Jesus Christ.	
DNA encoded message	16	topic in science	the pursuit of knowledge			The idea of using DNA, which encodes the genetic instructions used in the development of functioning of all known organisms, to encode a conventional message.	A secret message was found encoded in pieces in the DNA of numerous separate humanoid alien species in tng6x20 "The Chase".
Dyson sphere	17	mastering space	alternate reality			A truly enormous, hollow sphere constructed around a star to capture its entire energy output.	Scotty was found to have crash landed on the outer shell of a Dyson sphere in tng6x04 "Relics".
Fermat's last theorem	18	topic in science	the pursuit of knowledge			An interesting mathematical eeuqtion famously conjectured by Pierre de Fermat in 1637 in a margin of a copy of Arithemetica, where he claimed he had a proof that was too large to fit in the margin.	Picard tried to prove this age-old theorem in his readyroom in tng2x12 "The Royale".
Fourier series	19	topic in science	the pursuit of knowledge			A way to represent a wave-like function as a combination of simple sine waves, named in honor of Jean-Baptiste Joseph Fourier.	Data revealed that the blinking patterns of some Soong-type androids, although seemingly random, were in fact governed by Fourier series, in tng7x10 "Inheritance".
Freudian psychoanalysis	20	discredited scientific theory	the pursuit of knowledge	wacky dream interpretation		A somewhat unscientific set of psychological and psychotherapeutic theories and associated techniques, originally popularized by Sigmund Freud.	A virtual Sigmund Freud psychoanalyzed Data on the holodeck in tng7x06 "Phantasms".
Jack the Ripper was really an alien	21	crackpot theory	the pursuit of knowledge		aliens	The crackpot notion that Jack the Ripper was really an alien.	The malevolent entity Redjac was revealed to have been none other than Jack the Ripper in tos2x07 "Wolf in the Fold".
Lagrange point	22	topic in science	the pursuit of knowledge			One of five points in the plane of orbit of one body around another, e.g., the earth around the sun, at which a small third body can remain stationary with respect to both.	A mysterious warship hid in the Lagrange point behind Rana IV’s farthest moon in tng3x03 "The Survivors".
Liar's Paradox	23	topic in science	the pursuit of knowledge			The statement of a liar who states that they are lying: for instance, declaring that "I am lying" or "everything I say is false". If they are indeed lying, they are telling the truth, which means they are lying and so on ad infinitum.	Captain Kirk bested the android Norman by skillfully wielding this dangerous piece of otherwise abstract mathematics in tos2x12 "I, Mudd".
