Theme	Parent	Definition	Example	References
the human condition		Themes pertaining to the inner and outer experiences of individuals be they about private life or pair and group interactions with others around them.		
society		Themes pertaining to individuals involved in persistent social interaction, or a large social group sharing the same geographical or social territory, typically subject to the same political authority and dominant cultural expectations. These are themes about the interactions and patterns of relationships within or between different societies.		
the pursuit of knowledge		Themes pertaining to the expression of a view about how the world of nature operates, and how humans fit in relation to it. Put another way, these are themes about scientific, religious, philosophical, artistic, and humanist views on the nature of reality.		
alternate reality		Themes related to subject matter falling outside of reality as it is presently understood. This includes, but is not limited to, science fiction, fantasy, superhero fiction, science fantasy, horror, utopian and dystopian fiction, supernatural fiction as well as combinations thereof.		
2D beings	miscellaneous life form	Beings that perceive only two spatial dimension, like those sentient geometrical figures occupying a two-dimensional world described in the satirical novella "Flatland: A Romance of Many Dimensions" by E. A. Abbott.	The Enterprise-D came into contact with a plane of 2D beings floating towards a cosmic string in tng4x10 "The Loss", and got stuck.	
2D space	alternate laws of nature	A mathematical model of a world confined to two spatial dimensions.	The Enterprise-D got stuck in a plane of two-dimensional beings in tng4x10 "The Loss".	
AI point of view	views and customs	We are shown what things might be like from the point of view of a sentient machine.		
AI prejudice in society	prejudice in society	The issue of a large portion of society having a hostile prejudice against artificial intelligences (or their forerunners) is discussed.		
AI rights	human rights	We are made to ponder what intrinsic rights we feel should belong to any human-like sentient being that happens to be artificially constructed.	Data was granted parental rights over his android creation Lal when Admiral Haftel attempted to separate the father and daughter in tng3x16 "The Offspring".	
AI technology	novel sci-fi concept	The contemporarily popular category of themes that features Artificial Intelligence (AI) in different ways: androids, sentient computers, etc.		
Atlantis	crackpot theory	An advanced prehistoric civilization that was destroyed in a great flood.	Aquan underwater civilization on the planet Argo was preceded by a land civilization that was destroyed in the wake of global flood triggering earthquakes in tas1x13 "The Ambergris Element".	https://en.wikipedia.org/wiki/Atlantis, http://www.sf-encyclopedia.com/entry/atlantis
Bermuda Triangle	crackpot theory	A region where a number of vessels are said to have disappeared.	The Enterprise disappeared in the Delta Triangle (The Bermuda Triangle in Space) under mysterious circumstances in tas1x12 "The Time Trap".	https://en.wikipedia.org/wiki/Bermuda_Triangle, http://www.sf-encyclopedia.com/entry/bermuda_triangle
Bussard collector	starship technology	A spaceship propulsion technology the idea of which is to use electromagnetic fields to collect hydrogen from space and fuel a fusion process.	The Enterprise-D crew discharged vast amounts of hydrogen from the ship's Bussard collectors in a last ditched attempt to escape from a Tykan's Rift in tng4x17 "Night Terrors".	
Chariots of the Gods	crackpot theory	The hypothesis popularized by Erich von Däniken, that the technologies and religions of our ancient civilizations were given them by aliens whom they welcomed as gods.	Ensign Dawson Walking Bear recognized a winged, serpentine alien as the Mayan god Kulkulkan in tas 2x05 "How Sharper Than a Serpant's Tooth". Walking Bear recounted how Kulkulkan gave the Mayans an accurate calendar and instructed them in the art of city building.	
Christianity	religion	A collection Abrahamic monotheistic religions that are based on the life and teachings of Jesus Christ.		https://en.wikipedia.org/wiki/Christianity
DNA encoded message	topic in science	The idea of using DNA, which encodes the genetic instructions used in the development of functioning of all known organisms, to encode a conventional message.	A secret message was found encoded in pieces in the DNA of numerous separate humanoid alien species in tng6x20 "The Chase".	https://www.nytimes.com/2007/06/26/science/26DNA.html
Dyson sphere	mastering space	A truly enormous, hollow sphere constructed around a star to capture its entire energy output.	Scotty was found to have crash landed on the outer shell of a Dyson sphere in tng6x04 "Relics".	https://en.wikipedia.org/wiki/Dyson_sphere, http://www.sf-encyclopedia.com/entry/dyson_sphere
Fermat's last theorem	topic in science	An interesting mathematical equation famously conjectured by Pierre de Fermat in 1637 in a margin of a copy of Arithemetica, where he claimed he had a proof that was too large to fit in the margin.	Picard tried to prove this age-old theorem in his readyroom in tng2x12 "The Royale".	
Fourier series	topic in science	A way to represent a wave-like function as a combination of simple sine waves, named in honor of Jean-Baptiste Joseph Fourier.	Data revealed that the blinking patterns of some Soong-type androids, although seemingly random, were in fact governed by Fourier series, in tng7x10 "Inheritance".	https://en.wikipedia.org/wiki/Fourier_series
Freudian psychoanalysis	discredited scientific theory	A somewhat unscientific set of psychological and psychotherapeutic theories and associated techniques, originally popularized by Sigmund Freud.	A virtual Sigmund Freud psychoanalyzed Data on the holodeck in tng7x06 "Phantasms".	https://en.wikipedia.org/wiki/Psychoanalysis
Jack the Ripper was really an alien	crackpot theory	The crackpot notion that Jack the Ripper was really an alien.	The malevolent entity Redjac was revealed to have been none other than Jack the Ripper in tos2x07 "Wolf in the Fold".	https://en.wikipedia.org/wiki/Jack_the_Ripper
Lagrange point	topic in science	One of five points in the plane of orbit of one body around another, e.g., the earth around the sun, at which a small third body can remain stationary with respect to both.	A mysterious warship hid in the Lagrange point behind Rana IV’s farthest moon in tng3x03 "The Survivors".	https://en.wikipedia.org/wiki/Lagrangian_point, http://www.sf-encyclopedia.com/entry/lagrange_point
Liar's Paradox	topic in science	The statement of a liar who states that they are lying: for instance, declaring that "I am lying" or "everything I say is false". If they are indeed lying, they are telling the truth, which means they are lying and so on ad infinitum.	Captain Kirk bested the android Norman by skillfully wielding this dangerous piece of otherwise abstract mathematics in tos2x12 "I, Mudd".	
Lilliputians	miscellaneous life form	Humanoids that are just unusually small for some reason, like the Lilliputians in "Gulliver's Travels" by Jonathan Swift.	Spiroid epsilon waves had turned human scientists into tiny humanoids that were about one sixteenth of an inch tall in tas1x11 "The Terratin Incident".	
Nazi Germany pros and cons	social order	Nazi Germany is discussed, typically in a negative light. Preposterous as it may seem, however, people sometimes point out perceived advantages of it.	The Space Nazi's of tos2x23 "Patterns of Force" were wicked to the core, but they did make the trains run on time.	
Plato's Republic	utopia	Society is supposedly ideal because it is controlled by a class of exalted individuals who are just wiser than the rest.	The Platonians of tos3x12 "Plato's Stepchildren" modelled their society on this Platonic ideal.	
the ethics of interfering in less advanced societies	social ethical dilemma	The ethical question of whether and to what extent it is morally acceptable for an advanced society to interfere in the everyday life and development of a less advanced society is discussed.		https://en.wikipedia.org/wiki/Prime_Directive, http://www.sf-encyclopedia.com/entry/prime_directive
Sophie's choice	personal ethical dilemma	Someone must choose between two people, or two groups of people, that are roughly equal as far as the chooser is concerned. The one picked will be saved and the other condemned.	The Vians went about choosing which one of two Minaran civilizations to save from an impending supernova in a most curious manner in tos3x08 "The Empath".	
Spartan asceticism	agreeable characteristic	Someone declines luxury and comfort.		https://en.wikipedia.org/wiki/Asceticism
Spock vs. woman	the battle of the sexes	There is competition between Spock and a woman, and emphasis on the different advantages and disadvantages associated with their respective biologies.	Leila tried in vain to win the cold logical heart of Spock in tos1x25 "This Side of Paradise".	
Stockholm Syndrome	pathological state of mind	A hostage victim comes to feel affection for their captor.	Beverly came to empathize with her kidnapper, the terrorist leader Kyril Finn, in tng3x12 "The High Ground".	
The Copernican Principle	topic in science	This principle, named in honor of Nicolaus Copernicus, states that Earth is not in a central, specially favored position in the universe.	Mark Twain explained in tng5x26 "Time's Arrow" how British naturalist Alfred Russell Wallace had "revived the theory that Earth is at the center of the stellar universe".	https://en.wikipedia.org/wiki/Copernican_principle
The Hippocratic Oath	medical ethics	The old doctor’s maxim: "above all, do no harm," is featured.		https://en.wikipedia.org/wiki/Hippocratic_Oath
a danger shared can bring people together	group interaction	It is observed how a shared danger to a group of people can work to forge unity and cooperation within that group.	By facing a ferocious electromagnetic beast together, Captain Picard and the Tamarian Captain Dathon finally figured out how to communicate in tng5x02 "Darmok".	https://www.scientificamerican.com/article/how-the-stress-of-disaster-brings-people-together/
a god and his people	religion	The relationship between a god and his (her?) people is investigated.		
a person and his clone	familial relations	The relationship between a person and a clone of the same person is featured.	Riker learned first hand that he was not wholly easy to get along with in tng6x24 "Second Chances" when he came across his own exact duplicate.	
a wider world	introspection	Someone has their horizons broadened and realize what a limited (mental) world they lived in before.		
abiogenesis	topic in science	The natural process by which life is thought to have arisen from non-living matter such as simple organic compounds.	Q brought Captain Picard back in time and showed him the bubbling pool of ooze from which the first complex organic molecules on Earth would emerge in tng7x25 "All Good Things...".	https://en.wikipedia.org/wiki/Abiogenesis
abortion	past and present moral controversy	We are asked to what extent, i.e., at what time in the gestation process and by what manner, if any, abortion should be permitted.	Troi was quite taken aback when Worf indelicately suggested that she should terminate her pregnancy in tng2x01 "The Child".	https://en.wikipedia.org/wiki/Abortion
absentee father	parenting	Daddy is away from home for an extended period of time, perhaps because of a remote work assignment.		https://en.wikipedia.org/wiki/Father_absence
abuse of authority	contemporary social issue	Vested authority is used by someone to illegitimately pursuit their own private goals.		
abuse of real power	contemporary social issue	Someone has actual power over others, e.g. by muscle, weaponry or magic powers, and use these in a morally contentious way.		https://en.wikipedia.org/wiki/Abuse_of_power
acceptance	pleasant emotion	A character exhibits a mild feeling of being "okay" with someone or something. This is typically used when character shows a willingness to tolerate someone who is unpleasant to their sensibilities.		
accumulation of wealth vs. personal development	life choice	A character at a major cross road in their life chooses between pursuing wealth on one hand, and pursuing personal development on the other.	Captain Picard explained to Ralph Offenhouse that people of the 24th century no longer cared about accumulating wealth but rather sought personal development in tng1x26 "The Neutral Zone".	
acting	the fine arts and the humanities	Someone plays a role in theatre, film, etc.	Data played Henry V in Shakespeare's play of the same name on the holodeck in tng3x10 "The Defector".	https://en.wikipedia.org/wiki/Acting
activism	contemporary social issue	The category of themes about common social movements that aim to change society in various ways.		https://en.wikipedia.org/wiki/Activism
acute anxiety	pathological state of mind	Someone exhibits general nervousness, fear, and paranoia.		https://en.wikipedia.org/wiki/Panic_attack
admiration	pleasant emotion	A character exhibits a strong feeling of approval that is grounded in "acceptance" and "trust" in a person of competence, talent, or skill exceeding standards.		
adolescence	growing up	Problems associated with pubescent teenagers are featured.		https://en.wikipedia.org/wiki/Adolescence
adopting a child	life choice	A character struggles with the major life decision of whether to adopt a child.	Worf ritually adopted Jeremy Aster into the House of Mogh after the boy's mother died in the line of duty in tng3x05 "The Bonding".	https://en.wikipedia.org/wiki/Adoption
adoption	parenting	Someone adopts a child legally as their own in spite of not being the biological parent.	Talarians adopted the human boy Jono after having savagely massacred his family in a raid in tng4x04 "Suddenly Human".	
aesthetics	philosophy	The branch of philosophy dealing with the nature of art, beauty, and taste; and with the creation and appreciation of beauty.		https://en.wikipedia.org/wiki/Aesthetics
agility vs. strength	the art of war	An quick and spry person is pitched against a physically powerful opponent in a fight and we wonder which of these qualities is more important for victory.	Captain Kirk was pitted in an epic battle of agility and brains vs. strength against a Gorn captain in tos1x19 "The Arena".	http://tvtropes.org/pmwiki/discussion.php?id=1aq3z3atystdgmfhsuk0efx9
agony booth	fictional apparatus	A phone-booth shaped contraption used to inflict unbearable pain without causing physical injury.	Chekov (mirror universe) was sentenced to a full duration in the agony booth for his role in an assassination attempt on his captain in tos2x10 "Mirror, Mirror".	
agreeable characteristic	human characteristic	The category of themes that illustrates character traits that are generally admirable and typically considered beneficial to society.		
alcohol metabolism	topic in science	The process by which the body rids itself of alcohol and, in particular, the time it takes to "sober up".	Captain Picard explained to Dirgo that alcohol would not quench their thirst but would rather aggravate it in tng4x09 "Final Mission".	
alien abduction	crackpot theory	The abduction of someone against their will by aliens.	Captain Picard was abducted from the Enterprise-D by a pair of unnamed aliens and replaced with a replica in tng3x18 "Allegiance".	https://en.wikipedia.org/wiki/Alien_abduction
alien brought pandemic	extraterrestrial threat	Aliens from outer space bring with then an infectious disease that threatens life on your planet.	The plant-like Phylosians were brought to the brink of extinction by an alien brought pandemic in tas1x07 "The Infinite Vulcan".	http://bigthink.com/paul-ratner/could-alien-diseases-wipe-out-humanity
alien composed of autonomous parts	miscellaneous life form	A being whose body can, at will, divide into parts that each move and act of their own accord.	Captain Kirk was somewhat taken aback when Ari bn Bem suddenly separated into several autonomous parts in tas2x02 "Bem".	
alien customs	views and customs	We are shown possible alternative customs and traditions that perhaps make us take our own convictions less for granted.		
alien experiment	crackpot theory	The performing of experiments on human subjects by aliens.	Riker was abducted by subspace aliens and used as the subject in a bizarre series experiments in tng6x05 "Schisms". In one such experiment, the aliens amputated Riker's arm and then had it surgically reattached.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AnalProbing
alien impregnation of human females	crackpot theory	The impregnation of a woman by an alien, typically without her consent and sometimes without her knowledge.	Troi was impregnated by an incorporeal entity that sought to experience the world as a humanoid in tng2x01 "The Child".	https://en.wikipedia.org/wiki/Alien_abduction
alien morals	views and customs	We are shown possible alternative systems of morality that perhaps make us take our own convictions less for granted.		
alien origin of the human race	crackpot theory	The crackpot notion that aliens came to Earth and created the human race.	The renown Federation archaeologist Richard Galen was hot on the trail of an extinct race of primordial humanoids in tng6x20 "The Chase".	
alien overseers	superior life form	There is an advanced race of beings that for one reason or another have chosen to become the guardians of a less advanced race.		http://www.sf-encyclopedia.com/entry/secret_masters
alien point of view	views and customs	We are shown what things might be like from the point of view of an alien species.		
alien race segregated by gender	culturally distinguished life form	An alien race where the men and the women live separated from one another most of the time.	In the post-glacial Eymorg civilization on Sigma Draconis VI in tos3x06 "Spock's Brain", the women lived comfortably in a vast underground complex, while men toughed it out on the frozen surface.	
alien secretly living among us	crackpot theory	The crackpot notion that aliens are living secretly among normal people.	Riker was sent to live secretly among the Malcorians in preparation for a possible first contact scenario in tng4x15 "First Contact".	
alien with alien values	culturally distinguished life form	Aliens whose values are entirely different from recognizable human values, as opposed to minor variations or exaggerations.	Captain Kirk was perplexed by Organian apathy toward a Klingon occupation of their home world in tos1x27 "Errand of Mercy".	
alien with the body of a toddler	biologically distinguished life form	A fully mature, sentient being with a body that closely resembles a human baby.	Balok, captain of the First Federation starship Fesarius, had the body of a toddler in tos1x02 "The Corbomite Maneuver"	
aliens mired in institutionalized virtual war	culturally distinguished life form	An alien race that somehow managed to get themselves mired in a virtual war that was fought over so many generations that it became institutionalized.	The Eminians were mired in just such a war with the  People of Vendikar in tos1x23 "A Taste of Armageddon".	
aliens talking to us in our dreams	crackpot theory	The crackpot notion aliens communicate with people in their dreams.	Troi was contacted in her dreams by telepathic aliens trapped in Tykan's Rift in tng4x17 "Night Terrors".	
alternate laws of nature	novel sci-fi concept	The category of themes that posit worlds or universes where the laws of nature are different from what we know. These worlds may allow time travel or even magic.		
alternate life	alternate reality	The category of themes that are about incredible things or circumstances that could (potentially, hypothetically or in our wildest imagination) befall an individual.		
alternate points of view	views and customs	We are shown what things might be like from other peoples’ points of view.		
alternate society	alternate reality	The category of themes that are about how society could be different - either in the future, in an alien population, or in a different universe altogether.		
alternative medicine	discredited scientific theory	The pseudoscientific practice of advancing this or that substance as having healing effects, in the absence of proper scientific evidence.	The Kahn-ut-to woman Nona cured Captain Kirk of the poisonous effects of a Mugato bite by rubbing a mahko root over his chest in tos2x16 "A Private Little War".	https://en.wikipedia.org/wiki/Alternative_medicine
amazement	pleasant emotion	A character exhibits a feeling of astonishment, a stronger version of the theme "surprise", bordering on disbelief. This is typically used when a character experiences something truly wondrous, like meeting a god.	William T. Riker was amazed to meet his duplicate Thomas Riker in tng6x24 "Second Chances".	
amicable disposition	human disposition	The category of themes that illustrate positive attitudes we may have towards one another.		
anarchy	social order	There is lawless anarchy due to the absence of a functioning government.		https://en.wikipedia.org/wiki/Anarchy
anarchy vs. pacifism	social dichotomy	An anarchist philosophy of life is contrasted with a pacifist philosophy of life. Anarchist usually means a distaste or disregard for rules, while a pacifist’s main tenet is a rejection of the use of violence.	The pacifistic Mizarans were contrasted with the anarchistic Chalnoth in tng3x18 "Allegiance". The Chalnoth Esoqq considered eating the Mizaran Kova Toll as they were interned together without adequate food.	
ancient artificial custodian	AI technology	An intelligent machine is left by a long gone civilization on a planet  and becomes its guardian or caretaker.	A landing party encountered the artificial custodian Portal 6-3 on a planet formerly belonging to the long disappeared Tkon Empire in tng1x05 "The Last Outpost".	
android	AI technology	A robot designed to look and act like a human.		https://en.wikipedia.org/wiki/Android_(robot), http://www.sf-encyclopedia.com/entry/androids
anger	unpleasant emotion	A character exhibits displeasure or vexation to a point that rises above mere "annoyance", but is not quite so intense that they fall into a "rage", loose control of themself, and start smashing glass tables.	Leah Brahms was aghast to find that Geordi had simulated her on the holodeck in tng4x16 "Galaxy’s Child".	https://en.wikipedia.org/wiki/Anger https://en.wikipedia.org/wiki/Contrasting_and_categorization_of_emotions#Plutchik.27s_wheel_of_emotions
animal training	scientific discipline	The science of how animals are trained.	Data was in his own words "largely unsuccessful" in his efforts to train Spot the cat in tng7x09 "Forces of Nature".	https://en.wikipedia.org/wiki/Animal_training
annihilation by WMDs	man-made existential risk	People employ weapons of mass destruction, a.k.a. WMDs, and threaten planetary civilization.		https://en.wikipedia.org/wiki/Weapon_of_mass_destruction https://en.wikipedia.org/wiki/Global_catastrophic_risk
annoyance	unpleasant emotion	Someone has a feeling of irritation that borders on mild "anger".	Captain Picard was rather annoyed with Mot the barber for giving his two cents on Federation-Romulan relations in tng5x03 "Ensign Ro".	
antagonistic disposition	human disposition	The category of themes that illustrate negative attitudes we may have towards one another.		
anti-aging technology	human enhancement	Technology that undoes aging and takes years of your face!		https://en.wikipedia.org/wiki/Life_extension
anti-intellectualism	way of life	Someone expresses hostility towards and mistrust of intellect, intellectuals, and intellectual pursuits.	Daystrom was harassed by philistines like Captain Kirk who didn’t understand is his great achievements in duotronic computing in tos2x24 "The Ultimate Computer".	
anti-intellectualism in society	contemporary social issue	The ramifications of anti-intellectualism in society are explored.	Daystrom was harassed by philistines like Captain Kirk who didn’t understand is his great achievements in duotronic computing in tos2x24 "The Ultimate Computer".	https://en.wikipedia.org/wiki/Anti-intellectualism
anti-time phenomenon	alternate laws of nature	A muddle headed notion of something that is to time as antimatter is to conventional matter, i.e., when they meet they annihilate each other in a spectacular explosion and anything can happen.	Time and anti-time collided with spectacular consequences in tng7x25 "All Good Things...".	
anticipation	pleasant emotion	A character feels that something significant but inevitable is about to happen. It is implicit that the character expresses "interest" about the impending happening, but "vigilance" is unwarranted, since it cannot be changed.	Captain Kirk, Spock, and McCoy anticipated being tortured to death by the Vians in tos3x08 "The Empath".	
antigrav unit	fictional apparatus	A trolley that instead of having wheels can float by somehow counteracting gravity.		
anxiety	state of mind	Someone is troubled by worries over an uncertain event in the near future.		
appearances can be deceiving	life lesson	We are shown that people may not always be quite what they appear to be.		https://www.merriam-webster.com/dictionary/looks%20can%20be%20deceiving/deceptive https://idioms.thefreedictionary.com/appearances+can+be+deceiving
apprehension	unpleasant emotion	Someone experiences mild anxiety about the near future, but it falls short of being genuine "fear".	Scotty was apprehensive about something feeling wrong with the Enterprise engines in tos3x14 "That Which Survives". The chief engineer was summarily advised by Spock to " avoid emotionalism and simply keep your instruments correct".	
arachnophobia	pathological state of mind	Someone exhibits a fear of spiders.	Miles O'Brien confided in Barclay that he overcame arachnophobia by crawling into a Jefferies tube filled with twenty Talarian hook spiders in tng6x02 "Realm of Fear".	https://en.wikipedia.org/wiki/Apprehension
archaeology	scientific discipline	The scientific study of human activity through excavation of old sites, analysis of artifacts, etc.		https://en.wikipedia.org/wiki/Archaeology
arms race	war	Two rival factions each strive to improve to their arsenal of weaponry in order to outdo the other and gain an upper hand in the event of a war.		https://en.wikipedia.org/wiki/Arms_race
arms trade	war	One faction sells weapons to another faction. To what extent is the seller responsible for the actions carried out with such weapons?		https://en.wikipedia.org/wiki/Arms_industry
arranged marriage	past and present moral controversy	We are asked to what extent, if any, people should be free to marry whom they choose, or whether parents and other interested parties should have a say.	Spock urgently returned to Vulcan for the expressed purpose of wedding, and subsequently copulating with, his arranged bride T'Pring in tos2x05 "Amok Time".	https://en.wikipedia.org/wiki/Arranged_marriage
art appreciation	the fine arts and the humanities	How best to appreciate art is discussed.		https://en.wikipedia.org/wiki/Art_criticism
art criticism	the fine arts and the humanities	Art is discussed critically.	Data found evidence of "unsettling overtones of proto-Vulcan influences" in Picard's painting of a nude model in tng3x14 "A Matter of Perspective".	
artificial human body	human enhancement	An artificially constructed human body into which a real persons mind can be put one way or another.	Renowned exobiologist Roger Korby constructed android "clones" of himself and other people in tos1x09 "What Are Little Girls Made Of?".	
artificial planet	mastering space	An entire planet designed and constructed by some sentient race.	A mysterious planetoid turned out to be a wholly artificial artifact of a long gone alien civilization in tos3x14 "That Which Survives".	
asteroid belt	what's out there	A a ring of small and large rocks and dust in orbit around a star.		https://en.wikipedia.org/wiki/Asteroid_belt
asteroid deflection	topic in science	A collection of methods by which an asteroid could be diverted from colliding with a planetary target.	After the Enterprise had spectacularly failed to divert an asteroid, Captain Kirk accidentally activated an ancient asteroid deflecting device on the planet’s surface in tos3x03 "The Paradise Syndrome".	https://en.wikipedia.org/wiki/Asteroid_impact_avoidance
