Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
the human condition	1				Terrorist-like activities such as armed attacks, bombings and sabotage, are carried out in the name of environmentalism.	Militant activists from Hekaras II placed space mines to stop space ships from rupturing subspace with their warp cores in tng7x09 "Force of Nature".
society	4				Someone works to protect a natural environment against threatening changes brought on by humanoid activity.	
the pursuit of knowledge	10				Someone refuses either to cooperate or to violently resist an aggressor, i.e., in the manner of Gandhi against Brittain in India.	Space hippies frustrated Captain Kirk the Herbert with such antics in tos3x20 "The Way to Eden".
alternate reality	7				Someone works to change society in a grassroots movement kind of way, i.e., through consciousness-raising and example, not with guns and diplomacy.	
eco-terrorism	1133	activism			There is a hidden resistance movement that refrains from terrorist activities (typically “the good guys”).	
nature conservationism	875	activism			The question of what “cuteness” really is, is discussed. Why do we call some things “cute”?	McCoy pondered what it is that attracts us to cute little Tribbles in tos2x13 "The Trouble with Tribbles".
passive resistance	890	activism			The nature of gustatory taste is discussed (as opposed to, for example, taste in art).	Q and Data discussed that human habit of eating in tng3x13 "Deja Q".
social activism	696	activism			The question of what “beauty” really is is discussed. Why do we call some things “beautiful”?	
underground movement	975	activism			The question of what “perfection” really is, is discussed. Is there such a thing as true perfection?	The sentient space probe Nomadof  tos2x08 "The Changeling" set out to eradicate all imperfections in the universe, but Captain Kirk demonstrated to it that it was itself imperfect.
the nature of cuteness	1435	aesthetics			There is a “knight in shining armour standing up for the fair maiden” type scenario. Other types of chivalric virtues have their own themes when featured.	Captain Kirk rescued a damsel in distress from a sword wielding knave in tos3x23 “All Our Yesterdays”.
the nature of taste	1443	aesthetics			Someone faces a perceived danger boldly.	
what is beauty	739	aesthetics			Someone shows bravery in the face of lethal danger.	
what is perfection	1521	aesthetics			Someone is polite to a remarkable degree.	
chivalry	606	agreeable characteristic			Someone displays creativity and imagination.	
courage	781	agreeable characteristic			Someone is unassuming and declines attention for themselves.	Worf reluctantly participated in a surprise birthday party held in his honor in tng7x11 "Parallels".
courage in the face of death	409	agreeable characteristic			A character displays the ability to make equitable judgements without prejudice or bias.	
courtesy	782	agreeable characteristic		diligence	Someone shows a capacity for putting up with hardship and pulling through in spite of it.	
creativity	519	agreeable characteristic			Good deeds are made at great personal risk or great personal sacrifice.	
distaste for attention	213	agreeable characteristic			Someone displays notable truthfulness and lack of deceit.	
